,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,gps_code,iata_code
1,small_airport,Aero B Ranch Airport,38.704022,-101.473911,3435.0,,US,00AA,
2,small_airport,Lowell Field,59.94919968,-151.695999146,450.0,,US,00AK,
3,small_airport,Epps Airpark,34.86479949951172,-86.77030181884766,820.0,,US,00AL,
5,small_airport,Fulton Airport,34.9428028,-97.8180194,1100.0,,US,00AS,
6,small_airport,Cordes Airport,34.305599212646484,-112.16500091552734,3810.0,,US,00AZ,
7,small_airport,Goldstone /Gts/ Airport,35.350498199499995,-116.888000488,3038.0,,US,00CA,
8,small_airport,Williams Ag Airport,39.427188,-121.763427,87.0,,US,00CL,
11,small_airport,Grass Patch Airport,28.64550018310547,-82.21900177001953,53.0,,US,00FA,
13,small_airport,River Oak Airport,27.230899810791016,-80.96920013427734,35.0,,US,00FL,
14,small_airport,Lt World Airport,33.76750183105469,-84.06829833984375,700.0,,US,00GA,
17,small_airport,Delta Shores Airport,48.145301818847656,-116.21399688720705,2064.0,,US,00ID,
18,small_airport,Goltl Airport,39.724028,-101.395994,3359.0,,US,00IG,
20,small_airport,Hammer Airport,41.97840118408203,-89.5604019165039,840.0,,US,00IL,
22,small_airport,Hayenga's Cant Find Farms Airport,40.02560043334961,-89.1229019165039,820.0,,US,00IS,
23,small_airport,Hayden Farm Airport,38.72779846191406,-94.93049621582033,1100.0,,US,00KS,
24,small_airport,Robbins Roost Airport,37.409400939941406,-84.61969757080078,1265.0,,US,00KY,
27,small_airport,Lejeune Airport,30.13629913330078,-92.4293975830078,12.0,,US,00LS,
28,small_airport,Slater Field,38.75709915161133,-75.75379943847656,45.0,,US,00MD,
30,small_airport,Battle Lake Municipal Airport,46.29999923706055,-95.70030212402344,1365.0,,US,00MN,
31,small_airport,Cooper Flying Service Airport,37.202800750732,-94.412399291992,970.0,,US,00MO,
33,small_airport,Bucks Airport,39.47320175170898,-75.1852035522461,105.0,,US,00N,
34,small_airport,North Raleigh Airport,36.08520126342773,-78.37139892578125,348.0,,US,00NC,
37,small_airport,Weiss Airfield,42.90010070800781,-77.49970245361328,1000.0,,US,00NY,
40,small_airport,Gull Bay Landing Airport,36.198598,-96.217693,960.0,,US,00OK,
43,small_airport,Ferrell Field,41.2995,-80.211111,1301.0,,US,00PN,
45,small_airport,McKenzie Bridge State Airport,44.181466,-122.086,1620.0,,US,,
46,small_airport,Flying O Airport,34.0093994140625,-80.26719665527344,150.0,,US,00SC,
47,small_airport,Homan Field,44.809158,-96.498897,1590.0,,US,00SD,
50,small_airport,Ragsdale Road Airport,35.515899658203125,-85.95359802246094,1100.0,,US,00TN,
51,small_airport,Alpine Range Airport,32.607601165771484,-97.24199676513672,670.0,,US,00TS,
54,small_airport,Vaughan Airport,36.57600021,-78.9991684,551.0,,US,00VA,
55,small_airport,Groundhog Mountain Airport,36.66329956054688,-80.49949645996094,2680.0,,US,00VI,
56,small_airport,Lower Granite State Airport,46.672884,-117.441933,719.0,,US,,
57,small_airport,Howell Airport,47.17839813232422,-122.77200317382812,150.0,,US,00WA,
58,small_airport,Northern Lite Airport,44.304298400878906,-89.05010223388672,860.0,,US,00WI,
59,small_airport,Hawks Run Airport,46.25,-117.2490005493164,2900.0,,US,00WN,
60,small_airport,Lazy J. Aerodrome,38.82889938354492,-79.86609649658203,2060.0,,US,00WV,
62,small_airport,L P Askew Farms Airport,33.03340148925781,-101.93399810791016,3110.0,,US,00XS,
63,small_airport,Purkeypile Airport,62.94359970092773,-152.27000427246094,1950.0,,US,01A,
65,small_airport,Ware Island Airport,32.94599914550781,-86.51390075683594,344.0,,US,01AL,
70,small_airport,Swansboro Country Airport,38.79990005493164,-120.73400115966795,2594.0,,US,01CL,
74,small_airport,Rybolt Ranch Airport,28.589399337768555,-81.14420318603516,55.0,,US,01FA,
76,small_airport,Cedar Knoll Flying Ranch Airport,28.78190040588379,-81.1592025756836,19.0,,US,01FL,
78,small_airport,The Farm Airport,32.674400329589844,-82.77110290527344,375.0,,US,01GE,
79,small_airport,Stender Airport,41.66109848022461,-90.74130249023438,725.0,,US,01IA,
80,small_airport,Lava Hot Springs Airport,42.6082,-112.031998,5268.0,,US,01ID,
81,small_airport,Myers Field,39.8849983215332,-86.50669860839844,950.0,,US,01II,
84,small_airport,William E. Koenig Airport,39.01620101928711,-90.31819915771484,670.0,,US,01IS,
85,small_airport,Hilliard Airpark,30.68630027770996,-81.90570068359375,59.0,,US,01J,
86,small_airport,Caldwell Municipal Airport,37.03609848022461,-97.5864028930664,1157.0,,US,01K,
87,small_airport,Flying N Ranch Airport,38.54059982299805,-97.00330352783205,1485.0,,US,01KS,
89,small_airport,Barham Airport,32.638999938964844,-91.77369689941406,90.0,,US,01LA,
90,small_airport,Schumaier Restricted Landing Area,38.12580108642578,-89.46389770507812,555.0,,US,01LL,
91,small_airport,Country Breeze Airport,30.70599937438965,-91.07740020751952,125.0,,US,01LS,
98,small_airport,Crystal Lakes Resort Airport,48.789100646972656,-114.87999725341795,3141.0,,US,01MT,
99,small_airport,Topsail Airpark,34.47529983520508,-77.5813980102539,65.0,,US,01NC,
100,small_airport,Detour Airport,40.84360122680664,-100.65299987792967,3000.0,,US,01NE,
101,small_airport,Moore Airfield,43.6445,-72.086998,835.0,,US,01NH,
103,small_airport,Champion Ranch Airport,33.008611,-104.540278,3630.0,,US,01NM,
104,small_airport,Lantana Ranch Airport,38.76390075683594,-119.0270004272461,4600.0,,US,01NV,
110,small_airport,Bierly(Personal Use) Airport,40.93059921264648,-77.73889923095703,960.0,,US,01PN,
111,small_airport,Nort's Resort Airport,41.59590148925781,-76.02960205078125,1040.0,,US,01PS,
112,small_airport,York Airport,35.032100677490234,-81.25279998779297,779.0,,US,01SC,
114,small_airport,Smith Field,32.73759841918945,-96.4280014038086,505.0,,US,01TE,
115,small_airport,Colonial Air Park,34.99589920043945,-89.73059844970703,370.0,,US,01TN,
119,small_airport,Duckwater Airport,38.851600646972656,-115.63400268554688,5124.0,,US,01U,
120,small_airport,La Sal Junction Airport,38.30830001831055,-109.39600372314452,6000.0,,US,01UT,
121,small_airport,Pickles Airport,39.125,-77.9250030518,500.0,,US,01VA,
123,small_airport,Prehn Cranberry Company Airport,44.0099983215332,-90.38919830322266,930.0,,US,01WI,
126,small_airport,Keyhole Airport,44.347198486328125,-104.81099700927734,4250.0,,US,01WY,
129,small_airport,Barefoot Airport,61.506147,-149.912825,160.0,,US,02AA,
130,small_airport,Rustic Wilderness Airport,61.876907,-150.097626,190.0,,US,02AK,
131,small_airport,Bass Field,30.37150001525879,-87.76439666748047,61.0,,US,02AL,
135,small_airport,Shannon Field,34.129600524902344,-90.52400207519533,165.0,,US,02CD,
136,small_airport,Conover Air Lodge Airport,34.761101,-119.058998,5160.0,,US,02CL,
137,small_airport,Mc Cullough Airport,37.64329910279999,-106.04699707,7615.0,,US,02CO,
139,small_airport,Osborn Airfield,28.52669906616211,-81.87480163574219,121.0,,US,02FA,
140,small_airport,Triple R Ranch Airport,30.950976,-86.635555,209.0,,US,02FD,
142,small_airport,Doug Bolton Field,34.202598571777344,-83.42900085449219,884.0,,US,02GA,
143,small_airport,Etowah Fields Airport,34.17530059814453,-84.92440032958984,710.0,,US,02GE,
146,small_airport,Morgan Ranch Airport,44.55550003051758,-115.30500030517578,5634.0,,US,02ID,
147,small_airport,King Ultralightport,40.06230163574219,-86.21050262451172,925.0,,US,02II,
148,small_airport,Diamond P. Field,40.20890045166016,-85.54080200195312,904.0,,US,02IN,
150,small_airport,Jmj Landing Airport,39.222198486328125,-96.0552978515625,1170.0,,US,02KS,
156,small_airport,Garner Field,38.672544,-76.709739,141.0,,US,02MD,
157,small_airport,Nadeau's Airfield,43.537467,-70.930685,700.0,,US,02ME,
158,small_airport,Fairplains Airpark,43.15710067749024,-85.14849853515625,850.0,,US,02MI,
159,small_airport,Greenbush Municipal Airport,48.68330001831055,-96.19200134277344,1070.0,,US,02MN,
160,small_airport,Troy Airpark,39.04999923706055,-91.03350067138672,650.0,,US,02MO,
161,small_airport,Watts Field,34.100101470947266,-90.8468017578125,153.0,,US,02MS,
165,small_airport,Benes Service Airport,41.074501037597656,-96.90450286865234,1550.0,,US,02NE,
168,small_airport,Paiute Meadows Airport,41.30329895019531,-118.5979995727539,4443.0,,US,02NV,
170,small_airport,Zimmerman Airport,41.37639999389648,-83.08329772949219,614.0,,US,02OH,
171,small_airport,Murtha Airport,41.80199813842773,-80.56539916992188,950.0,,US,02OI,
174,small_airport,Rowena Dell Airport,45.68149948120117,-121.31600189208984,705.0,,US,02OR,
178,small_airport,Cuylers Airport,18.45330047607422,-66.36689758300781,15.0,,PR,02PR,
179,small_airport,Hughes Ultralightport,41.90060043334961,-77.23030090332031,1700.0,,US,02PS,
180,small_airport,Harpers Airport,32.75849914550781,-81.22480010986328,111.0,,US,02SC,
181,small_airport,Wise River Airport,45.76910018920898,-112.98200225830078,5830.0,,US,02T,
184,small_airport,Ellis Field,35.780601501464844,-86.58419799804688,840.0,,US,02TN,
187,small_airport,Lucin Airport,41.36629867553711,-113.84300231933594,4412.0,,US,02UT,
188,small_airport,The Greenhouse Airport,38.43569946289063,-77.8572006225586,320.0,,US,02VA,
190,small_airport,Cawleys South Prairie Airport,47.15230178833008,-122.09400177001952,690.0,,US,02WA,
191,small_airport,Beer Airport,45.03189849853516,-92.65579986572266,920.0,,US,02WI,
192,small_airport,Fowler Field,48.74580001831055,-119.31900024414062,2150.0,,US,02WN,
